url;external_sku;name;length;dimension;weight;Meters;Dealer;Distributor;Inne;Commodity codes;GTIN-13;Kategoria;GTIN-14;Ilość w domu;Puste;short_description;description
https://am-robots.com/pl/shop/blades/husqvarna/extreme-long-life-safety-blades-40-more-cutting/;35024099;Bezpieczne ostrza o ekstremalnie długiej żywotności +40% więcej cięcia.;30 szt.;30*29*26;0,158;30;16,15;12,825;;8208400000;5744003720330;Noże;15744003720337;10;;"<p> </p>
<p><strong>Bezpieczne ostrza Extreme Long Life koszą do 40% więcej niż tradycyjne bezpieczne ostrza o długiej żywotności.</strong></p>
<p>Te wysokiej jakości ostrza zostały zaprojektowane w taki sposób, aby uniknąć ich złamania w przypadku uderzenia o kamień lub twardą gałąź podczas koszenia, co zapobiega rozrzucaniu odłamków ostrza na trawniku.</p>
<p>Ostrze Extreme Long Life Safety Blade może być używane do WSZYSTKICH kosiarek samochodowych. Trwałość ostrza zapewnia, że nie będziesz wymieniał ostrzy zbyt często.</p>
<p>Ostrza te są dostępne w opakowaniach po 9 lub 300 sztuk dla centrów serwisowych.</p>
<p> </p>
<ul>
<li>Śruby ze stali nierdzewnej z powłoką DACROMET</li>
</ul>";"<h2>Opis</h2>

<ul>
<li>W zestawie śruby anodowane z powłoką dacromet (krzyżakowe + płaskie)</li>
<li>Pasuje do wszystkich modeli kosiarek automatycznych Husqvarna Automower i Gardena:105, G1, G2, Solar Hybrid, 220AC, 230ACX, 260ACX, 265ACX, 305, 308, 310, 315, 320, 330ACX,420, 430X, 440, 450X, R38Li, R40Li, R45Li, R50Li, R70Li, R75Li, R80Li, R100Li, R130Li, R160Li, R165, R180, Sileno, smart Sileno, Sileno +, smart Sileno + i wszystkie inne modele Husqvarna.</li>
</ul>"
https://am-robots.com/pl/shop/blades/husqvarna/long-life-safety-blades-original/;30014572;Bezpieczne ostrza o długiej żywotności;9 szt.;30*29*26;0,05;9;3,74;2,97;;8208400000;5744003720293;Noże;15744003720290;10;;"<p><strong>Bezpieczne ostrza Long Life 0,6mm do WSZYSTKICH kosiarek automatycznych Husqvarna.</strong></p>
<p>Bezpieczne ostrza Long Life są wykonane w nowej technologii, zaprojektowanej tak, aby wyeliminować możliwość złamania ostrza w przypadku uderzenia o kamień lub twardą gałąź podczas cięcia. Zapobiega to rozrzucaniu odłamków ostrza na trawniku.</p>
<p>Stal nierdzewna zapewnia również dłuższy czas cięcia i sprawia, że konsumenci rzadziej muszą wymieniać ostrza w kosiarkach automatycznych.</p>
<p>Ostrza te są dostępne w opakowaniach po 9 lub 300 sztuk dla centrów serwisowych.</p>
<p> </p>
<ul>
<li>Śruby ze stali nierdzewnej z powłoką DACROMET</li>
</ul>";"<h2>Opis</h2>

<ul type=""disc"">
<li>W zestawie śruby anodowane z powłoką dacromet (krzyżakowe + płaskie)</li>
<li>Działa dla wszystkich modeli kosiarek automatycznych Husqvarna Automower i Gardena:<br>
105, G1, G2, Solar Hybrid, 220AC, 230ACX, 260ACX, 265ACX, 305, 308, 310, 315, 320, 330ACX,<br>
420, 430X, 440, 450X, R38Li, R40Li, R45Li, R50Li, R70Li, R75Li, R80Li, R100Li, R130Li, R160Li, R165, R180, Sileno, smart Sileno, Sileno +, smart Sileno + oraz wszystkie inne modele Husqvarna.</li>
<li>Certyfikat DIN EN 50636!</li>
<li>Nr części oryginalnej: 577 86 46-03 (9 szt.), 577 60 66-04 (300 szt.)</li>
</ul>"
https://am-robots.com/pl/shop/blades/husqvarna/long-life-safety-blades-original/;30014578;Bezpieczne ostrza o długiej żywotności;300 szt.;34*32*23;1,7;300;97,75;77,625;;8208400000;5744003720316;Noże;15744003720313;0;;"<p><strong>Bezpieczne ostrza Long Life 0,6mm do WSZYSTKICH kosiarek automatycznych Husqvarna.</strong></p>
<p>Bezpieczne ostrza Long Life są wykonane w nowej technologii, zaprojektowanej tak, aby wyeliminować możliwość złamania ostrza w przypadku uderzenia o kamień lub twardą gałąź podczas cięcia. Zapobiega to rozrzucaniu odłamków ostrza na trawniku.</p>
<p>Stal nierdzewna zapewnia również dłuższy czas cięcia i sprawia, że konsumenci rzadziej muszą wymieniać ostrza w kosiarkach automatycznych.</p>
<p>Ostrza te są dostępne w opakowaniach po 9 lub 300 sztuk dla centrów serwisowych.</p>
<p> </p>
<ul>
<li>Śruby ze stali nierdzewnej z powłoką DACROMET</li>
</ul>";"<h2>Opis</h2>

<ul type=""disc"">
<li>W zestawie śruby anodowane z powłoką dacromet (krzyżakowe + płaskie)</li>
<li>Działa dla wszystkich modeli kosiarek automatycznych Husqvarna Automower i Gardena:<br>
105, G1, G2, Solar Hybrid, 220AC, 230ACX, 260ACX, 265ACX, 305, 308, 310, 315, 320, 330ACX,<br>
420, 430X, 440, 450X, R38Li, R40Li, R45Li, R50Li, R70Li, R75Li, R80Li, R100Li, R130Li, R160Li, R165, R180, Sileno, smart Sileno, Sileno +, smart Sileno + oraz wszystkie inne modele Husqvarna.</li>
<li>Certyfikat DIN EN 50636!</li>
<li>Nr części oryginalnej: 577 86 46-03 (9 szt.), 577 60 66-04 (300 szt.)</li>
</ul>"
https://am-robots.com/pl/shop/blades/husqvarna/long-life-safety-blades-original/;35014599;Bezpieczne ostrza o długiej żywotności;30 szt.;30*29*26;0,137;30;12,325;9,7875;;8208400000;5744003720309;Noże;15744003720306;10;;"<p><strong>Bezpieczne ostrza Long Life 0,6mm do WSZYSTKICH kosiarek automatycznych Husqvarna.</strong></p>
<p>Bezpieczne ostrza Long Life są wykonane w nowej technologii, zaprojektowanej tak, aby wyeliminować możliwość złamania ostrza w przypadku uderzenia o kamień lub twardą gałąź podczas cięcia. Zapobiega to rozrzucaniu odłamków ostrza na trawniku.</p>
<p>Stal nierdzewna zapewnia również dłuższy czas cięcia i sprawia, że konsumenci rzadziej muszą wymieniać ostrza w kosiarkach automatycznych.</p>
<p>Ostrza te są dostępne w opakowaniach po 9 lub 300 sztuk dla centrów serwisowych.</p>
<p> </p>
<ul>
<li>Śruby ze stali nierdzewnej z powłoką DACROMET</li>
</ul>";"<h2>Opis</h2>

<ul type=""disc"">
<li>W zestawie śruby anodowane z powłoką dacromet (krzyżakowe + płaskie)</li>
<li>Działa dla wszystkich modeli kosiarek automatycznych Husqvarna Automower i Gardena:<br>
105, G1, G2, Solar Hybrid, 220AC, 230ACX, 260ACX, 265ACX, 305, 308, 310, 315, 320, 330ACX,<br>
420, 430X, 440, 450X, R38Li, R40Li, R45Li, R50Li, R70Li, R75Li, R80Li, R100Li, R130Li, R160Li, R165, R180, Sileno, smart Sileno, Sileno +, smart Sileno + oraz wszystkie inne modele Husqvarna.</li>
<li>Certyfikat DIN EN 50636!</li>
<li>Nr części oryginalnej: 577 86 46-03 (9 szt.), 577 60 66-04 (300 szt.)</li>
</ul>"
https://am-robots.com/pl/shop/blades/luba/luba-mammotion-reversible-blades/;39614586;Odwracalne ostrza LUBA Mammotion;24 szt.;;;24;13,6;10,8;;;;Noże;;12;;"<p> </p>
<p>Odwracalne ostrza LUBA Mammotion są przeznaczone do robotów koszących LUBA i zostały zaprojektowane z najwyższą dbałością o bezpieczeństwo, aby zapobiec pękaniu, a tym samym rozrzucaniu resztek ostrza na trawniku.</p>
<p>Wykonane ze stali nierdzewnej ostrza zapewniają dłuższą żywotność cięcia, zmniejszając częstotliwość wymiany ostrzy przez właściciela.</p>
<p>Ostrza te są dostępne w opakowaniach po 16 sztuk, 32 sztuki lub 300 sztuk dla centrów serwisowych.</p>
<p> </p>";"<h2>Opis</h2>

<p class=""x_MsoNormal""><span lang=""en-DK"" data-olk-copy-source=""MessageBody"">Ostrza są dostarczane w półzamkniętym dozowniku dla dodatkowego bezpieczeństwa i niezbędnej opieki nad użytkownikami.</span></p>
<p class=""x_MsoNormal""><span lang=""en-DK"">Pasuje do robotów Luba 1AWD, Luba 2 AWD i serii Yuka.</span></p>"
https://am-robots.com/pl/shop/blades/luba/luba-mammotion-reversible-blades/;39644587;Odwracalne ostrza LUBA Mammotion;48 szt.;;;48;27,2;21,6;;;;Noże;;1;;"<p> </p>
<p>Odwracalne ostrza LUBA Mammotion są przeznaczone do robotów koszących LUBA i zostały zaprojektowane z najwyższą dbałością o bezpieczeństwo, aby zapobiec pękaniu, a tym samym rozrzucaniu resztek ostrza na trawniku.</p>
<p>Wykonane ze stali nierdzewnej ostrza zapewniają dłuższą żywotność cięcia, zmniejszając częstotliwość wymiany ostrzy przez właściciela.</p>
<p>Ostrza te są dostępne w opakowaniach po 16 sztuk, 32 sztuki lub 300 sztuk dla centrów serwisowych.</p>
<p> </p>";"<h2>Opis</h2>

<p class=""x_MsoNormal""><span lang=""en-DK"" data-olk-copy-source=""MessageBody"">Ostrza są dostarczane w półzamkniętym dozowniku dla dodatkowego bezpieczeństwa i niezbędnej opieki nad użytkownikami.</span></p>
<p class=""x_MsoNormal""><span lang=""en-DK"">Pasuje do robotów Luba 1AWD, Luba 2 AWD i serii Yuka.</span></p>"
https://am-robots.com/pl/shop/blades/parkside/parkside-reversible-blades/;39584572;Odwracalne ostrza Parkside;9 szt.;;;9;5,1;4,05;;;;Noże;;10;;"<p>- Specjalna technika ostrzenia<br>
- Wysokiej jakości anodyzowane śruby ze stali nierdzewnej<br>
- Ciche koszenie<br>
- Materiał: stal nierdzewna</p>";"<h2>Opis</h2>

<p>Stal: Stal nierdzewna</p>
<p>Rozmiar ostrza: 36mm x 18mm x 0,5mm</p>
<p>Kompatybilny z modelami robotów WorX: S300, M500, M700, M500 plus, M700 Plus, L1000, L2000, M800</p>"
https://am-robots.com/pl/shop/blades/robomow/robomow-rk-blade/;37714573;Robomow RK Blade;24 szt.;;;24;17;13,5;;;;Noże;;10;;"<p> </p>
<p><b><span lang=""EN-US"">Oryginalne <span class=""il"">ostrza</span> ze stali nierdzewnej Robomow <span class=""il"">RK</span> firmy AM ROBOTS mają wyjątkowo twardą powłokę, która zapewnia lepszą ochronę <span class=""il"">ostrzy</span> .</span></b></p>
<p>Ostrze jest kompatybilne z wszystkimi urządzeniami serii Robomow RK.</p>
<p>Opakowanie zawiera 8 szt.</p>
<ul>
<li>Zawiera zapasowe ostrza i śruby.</li>
<li>Ostrze jest kompatybilne z kosiarkami automatycznymi Robomow z serii RK</li>
</ul>";"<h2>Opis</h2>

<p>Rozmiar: 25,5 x 23,5 x 100 mm</p>
<p>Kompatybilny z modelami robotów Robomow: RK1000, RK1000 Pro, RK2000, RK2000 Pro, RK3000 Pro, RK4000 Pro</p>"
https://am-robots.com/pl/shop/blades/robomow/robomow-rk-blade/;37734579;Robomow RK Blade;300 szt.;;;300;101,15;80,325;;;;Noże;;0;;"<p> </p>
<p><b><span lang=""EN-US"">Oryginalne <span class=""il"">ostrza</span> ze stali nierdzewnej Robomow <span class=""il"">RK</span> firmy AM ROBOTS mają wyjątkowo twardą powłokę, która zapewnia lepszą ochronę <span class=""il"">ostrzy</span> .</span></b></p>
<p>Ostrze jest kompatybilne z wszystkimi urządzeniami serii Robomow RK.</p>
<p>Opakowanie zawiera 8 szt.</p>
<ul>
<li>Zawiera zapasowe ostrza i śruby.</li>
<li>Ostrze jest kompatybilne z kosiarkami automatycznymi Robomow z serii RK</li>
</ul>";"<h2>Opis</h2>

<p>Rozmiar: 25,5 x 23,5 x 100 mm</p>
<p>Kompatybilny z modelami robotów Robomow: RK1000, RK1000 Pro, RK2000, RK2000 Pro, RK3000 Pro, RK4000 Pro</p>"
https://am-robots.com/pl/shop/blades/robomow/robomow-rk-blade/;37994571;Robomow RK Blade;8 szt.;30*29*26;0,053;8;6,8;5,4;;8208400000;5744003720439;Noże;15744003720436;10;;"<p> </p>
<p><b><span lang=""EN-US"">Oryginalne <span class=""il"">ostrza</span> ze stali nierdzewnej Robomow <span class=""il"">RK</span> firmy AM ROBOTS mają wyjątkowo twardą powłokę, która zapewnia lepszą ochronę <span class=""il"">ostrzy</span> .</span></b></p>
<p>Ostrze jest kompatybilne z wszystkimi urządzeniami serii Robomow RK.</p>
<p>Opakowanie zawiera 8 szt.</p>
<ul>
<li>Zawiera zapasowe ostrza i śruby.</li>
<li>Ostrze jest kompatybilne z kosiarkami automatycznymi Robomow z serii RK</li>
</ul>";"<h2>Opis</h2>

<p>Rozmiar: 25,5 x 23,5 x 100 mm</p>
<p>Kompatybilny z modelami robotów Robomow: RK1000, RK1000 Pro, RK2000, RK2000 Pro, RK3000 Pro, RK4000 Pro</p>"
https://am-robots.com/pl/shop/blades/robomow/robomow-rs-blade/;37504585;Robomow RS Blade;2 szt.;54*48*46;0,7;2;32,3;25,65;;8208400000;5744003720415;Noże;15744003720412;10;;"<p> </p>
<p><strong>Oryginalne ostrza ze stali nierdzewnej Robomow RS firmy AM ROBOTS mają wyjątkowo twardą powłokę, która zapewnia lepszą ochronę ostrzy.</strong></p>
<p>Ostrza są łatwe do umieszczenia na robocie i mają elegancki i nowoczesny design. AM ROBOTS oferuje 1 lub 2 opakowania zapasowych ostrzy do Robomow RS.</p>
<p> </p>
<ul>
<li>1, 2 lub 25 ostrzy</li>
<li>Ostrze jest kompatybilne z robotami-kosiarkami Robomow z serii RS, RC, TS i MS.</li>
<li>Materiał: Stal nierdzewna</li>
</ul>";"<h2>Opis</h2>

<p>Opakowanie: 1, 2 lub 25 sztuk</p>
<p>Materiał: Stal nierdzewna</p>
<p>Oryginalne numery części: 1 opakowanie - MRK6101A 2 opakowania - MRK7003A</p>
<p>Kompatybilny z modelami robotów Robomow: RC312, RC308, RC304, RS635, RS625, RS615</p>"
https://am-robots.com/pl/shop/blades/robomow/robomow-rs-blade/;37504593;Robomow RS Blade;1 szt.;;;1;17;13,5;;;;;;0;;"<p> </p>
<p><strong>Oryginalne ostrza ze stali nierdzewnej Robomow RS firmy AM ROBOTS mają wyjątkowo twardą powłokę, która zapewnia lepszą ochronę ostrzy.</strong></p>
<p>Ostrza są łatwe do umieszczenia na robocie i mają elegancki i nowoczesny design. AM ROBOTS oferuje 1 lub 2 opakowania zapasowych ostrzy do Robomow RS.</p>
<p> </p>
<ul>
<li>1, 2 lub 25 ostrzy</li>
<li>Ostrze jest kompatybilne z robotami-kosiarkami Robomow z serii RS, RC, TS i MS.</li>
<li>Materiał: Stal nierdzewna</li>
</ul>";"<h2>Opis</h2>

<p>Opakowanie: 1, 2 lub 25 sztuk</p>
<p>Materiał: Stal nierdzewna</p>
<p>Oryginalne numery części: 1 opakowanie - MRK6101A 2 opakowania - MRK7003A</p>
<p>Kompatybilny z modelami robotów Robomow: RC312, RC308, RC304, RS635, RS625, RS615</p>"
https://am-robots.com/pl/shop/blades/robomow/robomow-rs-blade/;37504594;Robomow RS Blade;1 szt.;54*48*46;0,47;;;;;8208400000;5744003720408;Noże;15744003720405;0;;"<p> </p>
<p><strong>Oryginalne ostrza ze stali nierdzewnej Robomow RS firmy AM ROBOTS mają wyjątkowo twardą powłokę, która zapewnia lepszą ochronę ostrzy.</strong></p>
<p>Ostrza są łatwe do umieszczenia na robocie i mają elegancki i nowoczesny design. AM ROBOTS oferuje 1 lub 2 opakowania zapasowych ostrzy do Robomow RS.</p>
<p> </p>
<ul>
<li>1, 2 lub 25 ostrzy</li>
<li>Ostrze jest kompatybilne z robotami-kosiarkami Robomow z serii RS, RC, TS i MS.</li>
<li>Materiał: Stal nierdzewna</li>
</ul>";"<h2>Opis</h2>

<p>Opakowanie: 1, 2 lub 25 sztuk</p>
<p>Materiał: Stal nierdzewna</p>
<p>Oryginalne numery części: 1 opakowanie - MRK6101A 2 opakowania - MRK7003A</p>
<p>Kompatybilny z modelami robotów Robomow: RC312, RC308, RC304, RS635, RS625, RS615</p>"
https://am-robots.com/pl/shop/blades/robomow/robomow-rs-blade/;37894575;Robomow RS Blade;25 szt.;51*37*32;6,5;25;424,15;336,825;;8208400000;5744003720422;Noże;;0;;"<p> </p>
<p><strong>Oryginalne ostrza ze stali nierdzewnej Robomow RS firmy AM ROBOTS mają wyjątkowo twardą powłokę, która zapewnia lepszą ochronę ostrzy.</strong></p>
<p>Ostrza są łatwe do umieszczenia na robocie i mają elegancki i nowoczesny design. AM ROBOTS oferuje 1 lub 2 opakowania zapasowych ostrzy do Robomow RS.</p>
<p> </p>
<ul>
<li>1, 2 lub 25 ostrzy</li>
<li>Ostrze jest kompatybilne z robotami-kosiarkami Robomow z serii RS, RC, TS i MS.</li>
<li>Materiał: Stal nierdzewna</li>
</ul>";"<h2>Opis</h2>

<p>Opakowanie: 1, 2 lub 25 sztuk</p>
<p>Materiał: Stal nierdzewna</p>
<p>Oryginalne numery części: 1 opakowanie - MRK6101A 2 opakowania - MRK7003A</p>
<p>Kompatybilny z modelami robotów Robomow: RC312, RC308, RC304, RS635, RS625, RS615</p>"
https://am-robots.com/pl/shop/blades/robomow/robomow-rx-blade/;37504589;Robomow RX Blade;;30*29*26;0,82;1;5,1;4,05;;8208400000;5744003720392;Noże;;10;;"<p> </p>
<p><strong>Oryginalne ostrza ze stali nierdzewnej Robomow RX firmy AM ROBOTS mają wyjątkowo twardą powłokę, która zapewnia lepszą ochronę ostrzy.</strong></p>
<p>Ostrze jest kompatybilne z kosiarkami automatycznymi Robomow z serii RX.</p>
<p> </p>
<ul>
<li>Zawiera zapasowe ostrze i narzędzia zapewniające bezpieczną wymianę</li>
<li>Ostrze jest kompatybilne z kosiarkami automatycznymi Robomow z serii RX</li>
<li>Materiał: Stal nierdzewna</li>
<li>Rozmiar: L: 18cm W: 4,5cm</li>
</ul>";"<h2>Opis</h2>

<p>Rozmiar: L: 18cm W: 4,5cm</p>
<p>Opakowanie: 1 szt.</p>
<p>Materiał: Stal nierdzewna</p>
<p>Numer części oryginalnej: 122-102-619</p>
<p>Kompatybilny z modelami robotów Robomow: RT300, RT700, RX 12U, RX20U i RX50</p>"
https://am-robots.com/pl/shop/blades/stihl/stihl-imow-evo-premium-blades/;31029717;Ostrza Stihl iMOW EVO Premium;30 szt.; ; ;30;15,3;12,15;;8208400000;5744003721511;Noże;;9;;"<p><strong>Ostrza STIHL iMOW Evo są przeznaczone do robota o tej samej nazwie. </strong></p>
<p>Zostały one zaprojektowane w celu wyeliminowania pęknięć, jeśli robot uderzy w kamień lub twardą gałąź podczas cięcia. Zapobiegają rozrzucaniu resztek ostrza na trawniku.</p>
<p>Stal nierdzewna oferuje dłuższy czas cięcia i sprawi, że właściciel robota nie będzie musiał tak często wymieniać ostrzy.</p>
<p>Ostrza te są dostępne w opakowaniach po 9 sztuk, 30 sztuk lub 300 sztuk dla centrów serwisowych.</p>";"<h2>Opis</h2>

<p>Pasuje do modeli Stihl: iMOW 5/ iMOW 5 EVO/ iMOW 6/ iMOW 6 EVO/ iMOW 7/ iMOW 7 EVO</p>"
https://am-robots.com/pl/shop/blades/stihl/stihl-imow-evo-premium-blades/;31029772;Ostrza Stihl iMOW EVO Premium;9 szt.; ; ;9;5,1;4,05;;8208400000;5744003721504;Noże;;7;;"<p><strong>Ostrza STIHL iMOW Evo są przeznaczone do robota o tej samej nazwie. </strong></p>
<p>Zostały one zaprojektowane w celu wyeliminowania pęknięć, jeśli robot uderzy w kamień lub twardą gałąź podczas cięcia. Zapobiegają rozrzucaniu resztek ostrza na trawniku.</p>
<p>Stal nierdzewna oferuje dłuższy czas cięcia i sprawi, że właściciel robota nie będzie musiał tak często wymieniać ostrzy.</p>
<p>Ostrza te są dostępne w opakowaniach po 9 sztuk, 30 sztuk lub 300 sztuk dla centrów serwisowych.</p>";"<h2>Opis</h2>

<p>Pasuje do modeli Stihl: iMOW 5/ iMOW 5 EVO/ iMOW 6/ iMOW 6 EVO/ iMOW 7/ iMOW 7 EVO</p>"
https://am-robots.com/pl/shop/blades/stihl/stihl-imow-evo-premium-blades/;31029779;Ostrza Stihl iMOW EVO Premium;300 szt.; ; ;300;119;94,5;;8208400000;5744003721528;Noże;;0;;"<p><strong>Ostrza STIHL iMOW Evo są przeznaczone do robota o tej samej nazwie. </strong></p>
<p>Zostały one zaprojektowane w celu wyeliminowania pęknięć, jeśli robot uderzy w kamień lub twardą gałąź podczas cięcia. Zapobiegają rozrzucaniu resztek ostrza na trawniku.</p>
<p>Stal nierdzewna oferuje dłuższy czas cięcia i sprawi, że właściciel robota nie będzie musiał tak często wymieniać ostrzy.</p>
<p>Ostrza te są dostępne w opakowaniach po 9 sztuk, 30 sztuk lub 300 sztuk dla centrów serwisowych.</p>";"<h2>Opis</h2>

<p>Pasuje do modeli Stihl: iMOW 5/ iMOW 5 EVO/ iMOW 6/ iMOW 6 EVO/ iMOW 7/ iMOW 7 EVO</p>"
https://am-robots.com/pl/shop/blades/stihl/stihl-viking-imow-assembly-kit-for-blades/;31509787;STIHL / VIKING iMOW 6-Series ALM 030 Zestaw noży - 30 cm ostrza;;50*40*30;0,3;1;6,8;5,4;;8208400000;5744003720460;Noże;15744003720467;10;;"<p><strong>Jest to kompletny, oryginalny zestaw zamienny do STIHL / VIKING iMOW. Zestaw zawiera wszystkie niezbędne akcesoria potrzebne do wymiany ostrzy w kosach STIHL / VIKING iMOW serii 6. </strong></p>
<ul>
<li>Numer producenta: 69090071022, 63097609701, 63097609700</li>
<li>Zamontowane w: STIHL / VIKING MI 632, MI 632 P, MI 632 C, MI 632 PC, STIHL RMI 632, RMI 632 P, RMI 632 C, RMI 632 PC</li>
<li>Zawartość pudełka: 1 x uchwyt (łapacz) noży z krążkiem mocującym (śruba do noży).</li>
<li>Uchwyt do noży iMOW z płytą montażową do ALM 030</li>
</ul>";"<h2>Opis</h2>

<p>Numer części oryginalnej: 6909-007-1022</p>
<p>Kompatybilny z modelami robotów STIHL / VIKING iMOW: RMI 632, RMI 632P, RMI 632C, RMI 632PC</p>"
https://am-robots.com/pl/shop/blades/stihl/stihl-viking-imow-large-blades-rmi-6-series-30-cm/;31509786;STIHL / VIKING iMOW Duże noże - seria RMI 6 (30 cm);;50*40*30;0,14;1;5,1;4,05;;8208400000;5744003720477;Noże;15744003720474;10;;"<p><strong>Nasze noże Quality do STIHL i VIKING iMOW są wykonane z najwyższej jakości stali szlachetnej i pokryte powłoką ochronną o bardzo długiej żywotności.</strong></p>
<p>Możesz również dodać zestaw montażowy dla ostrzy, znajdziesz je poniżej na tej stronie.</p>
<p>Zamontowane w:</p>
<ul>
<li>VIKING MI 632, MI 632 P, MI 632 C, MI 632 PC,</li>
<li>STIHL RMI 632, RMI 632 P, RMI 632 C, RMI 632 P</li>
</ul>";"<h2>Opis</h2>

<p>Nr części oryginalnej: ALM 030</p>
<p>Kompatybilny z modelami robotów STIHL / VIKING iMOW: Stihl RMI 632, Stihl RMI 632 P, Stihl RMI 632 C, Stihl RMI 632 PC, Viking MI 632, Viking MI 632 P, Viking MI 632 C, Viking MI 632 PC</p>
<p> </p>"
https://am-robots.com/pl/shop/blades/stihl/stihl-viking-imow-large-blades-rmi-6-series-30-cm-2/;31509789;STIHL / VIKING iMOW Duże noże - seria RMI 6 (28 cm);;30*10*10;0,121;1;5,1;4,05;;8208400000;5744003720484;Noże;15744003720481;10;;"<p><strong>Nasze noże Quality do STIHL i VIKING iMOW są wykonane z najwyższej jakości stali szlachetnej i pokryte powłoką ochronną o bardzo długiej żywotności.</strong></p>
<p>Możesz również dodać zestaw montażowy dla ostrzy, znajdziesz je poniżej na tej stronie.</p>
<p>Zamontowane w:</p>
<ul>
<li>VIKING MI 632, MI 632 P, MI 632 C, MI 632 PC,</li>
<li>STIHL RMI 632, RMI 632 P, RMI 632 C, RMI 632 P</li>
</ul>";"<h2>Opis</h2>

<p>Numer części oryginalnej: 6309-702-0101</p>
<p>Kompatybilny z modelami robotów STIHL / VIKING iMOW:  Stihl RMI 632, Stihl RMI 632 P, Stihl RMI 632 C, Stihl RMI 632 PC, Viking MI 632, Viking MI 632 P, Viking MI 632 C, Viking MI 632 PC,</p>"
https://am-robots.com/pl/shop/blades/stihl/stihl-viking-imow-small-blades-rmi-4-series-20-cm/;31509788;STIHL / VIKING iMOW Małe noże - seria RMI 4 (20 cm);;22*10*10;0,09;1;4,25;3,375;;8208400000;5744003720507;Noże;15744003720504;10;;"<p><strong>Nasze noże do STIHL i VIKING iMOW są wykonane z najwyższej jakości stali szlachetnej i pokryte powłoką ochronną o wyjątkowo długiej żywotności.</strong></p>
<p><strong> </strong></p>
<p>Pasuje do modeli: STIHL / VIKING iMOW MI422, seria 4, 20 cm</p>";"<h2>Opis</h2>

<p>Numer części oryginalnej: 6301-702-0101</p>
<p>Kompatybilny z modelami robotów STIHL / VIKING iMOW: Stihl RMI 422, Stihl RMI 422 P, Stihl RMI 422 PC, Stihl RMI 522 C, Viking iMOW MI 4 Serie</p>
<p> </p>"
https://am-robots.com/pl/shop/blades/worx/worx-blades-12-pcs-all-models/;39969979;Ostrza Worx (wszystkie modele);300 szt.;34*32*23;2;300;114,75;91,125;;8208400000;5744003721252;Noże;15744003721259;0;;"<p> </p>
<p><strong>Ostrza Worx od AM ROBOTS działają dłużej dzięki hartowanej stali. Ostrza Worx mają specjalną technikę ostrzenia, która ostrzy ostrza podczas cięcia trawy.</strong></p>
<p>Hartowana stal została zaprojektowana w celu wyeliminowania pęknięć w przypadku uderzenia ostrza o kamień lub twardą gałąź podczas cięcia. Gwarantuje to również, że żadne fragmenty ostrza nie pozostaną w trawie, co czyni go bezpiecznym w użyciu.</p>
<p>Nowo wynaleziona stal nierdzewna oferuje dłuższy czas cięcia i sprawi, że konsumenci nie będą musieli tak często wymieniać ostrzy.</p>
<ul>
<li><strong>Najlepsza jakość bezpiecznych ostrzy</strong></li>
<li><strong>Śruby zabezpieczające</strong></li>
<li><strong>Ostrza o długiej żywotności</strong></li>
</ul>
<p>Pasują do wszystkich modeli Worx.</p>";"<h2>Opis</h2>

<p>Stal: Stal nierdzewna</p>
<p>Oferujemy ten model w opakowaniu zastępczym 12 szt.</p>
<p>Rozmiar ostrza: 36mm x 18mm x 0,5mm</p>
<p>Numer części oryginalnej: WA0190</p>
<p>Kompatybilny z modelami robotów WorX: S300, M500, M700, M500 plus, M700 Plus, L1000, L2000, M800</p>"
https://am-robots.com/pl/shop/blades/worx/worx-blades-12-pcs-all-models/;39969998;Ostrza Worx (wszystkie modele);12 szt.;30*29*26;0,069;12;5,1;4,05;;8208400000;5744003720590;Noże;15744003720597;10;;"<p> </p>
<p><strong>Ostrza Worx od AM ROBOTS działają dłużej dzięki hartowanej stali. Ostrza Worx mają specjalną technikę ostrzenia, która ostrzy ostrza podczas cięcia trawy.</strong></p>
<p>Hartowana stal została zaprojektowana w celu wyeliminowania pęknięć w przypadku uderzenia ostrza o kamień lub twardą gałąź podczas cięcia. Gwarantuje to również, że żadne fragmenty ostrza nie pozostaną w trawie, co czyni go bezpiecznym w użyciu.</p>
<p>Nowo wynaleziona stal nierdzewna oferuje dłuższy czas cięcia i sprawi, że konsumenci nie będą musieli tak często wymieniać ostrzy.</p>
<ul>
<li><strong>Najlepsza jakość bezpiecznych ostrzy</strong></li>
<li><strong>Śruby zabezpieczające</strong></li>
<li><strong>Ostrza o długiej żywotności</strong></li>
</ul>
<p>Pasują do wszystkich modeli Worx.</p>";"<h2>Opis</h2>

<p>Stal: Stal nierdzewna</p>
<p>Oferujemy ten model w opakowaniu zastępczym 12 szt.</p>
<p>Rozmiar ostrza: 36mm x 18mm x 0,5mm</p>
<p>Numer części oryginalnej: WA0190</p>
<p>Kompatybilny z modelami robotów WorX: S300, M500, M700, M500 plus, M700 Plus, L1000, L2000, M800</p>"
